Tokyo,Karuizawa,Kumagaya,Ishigakijima,Sapporo,Osaka
26.6,16.7,26.5,27.1,21.1,27.5
26.3,16.2,24.4,28.2,19.3,28.1
26.1,15.9,23.1,27.4,19.5,27.9
26.5,17.2,26.5,25.4,22.5,27.8
25.7,17.5,26,26.7,24,27.6
26.8,16.5,25.5,26.3,23.7,27.9
26.8,17,26.4,25.6,21.2,28
24.9,18.6,25.3,25.3,20.4,25.1
24.7,18.4,24.7,27.7,20.1,26.3
25.5,17.6,24.3,27.5,23,27
25.3,17.5,25.3,27.7,22.2,26.1
26.3,19.4,25.6,28.2,20.4,24.8
25.3,18.9,24.7,28.2,20.4,23.3
24,18.1,23.1,27.9,20.3,26.6
24.1,17.4,23.5,28.4,20.6,24.7
24.6,18.2,24,28.7,20.5,23.7
23.6,18.4,23.3,28.2,19.8,23.7
26,18,23.9,27.8,16.4,22.9
25.7,17.3,25,27.3,16.5,23.1
24,18.7,24.1,28.3,17.5,24.2
24.5,18.3,23.7,27.7,16.9,22.5
24.7,18.5,24.3,26.5,20,25.9
24,17.5,23.7,26.3,18.5,24.1
21.6,15.2,22,27,16,23.2
18.2,12.2,18.6,26.2,14.7,24.1
17.9,12,17.2,26.4,17.1,23.5
20.2,15.3,20.4,26.1,18.3,23.8
19.9,15,20.1,26.7,17.8,23.5
19.1,14.9,19.6,27.6,16.7,23.6
20.3,15.6,20,27.4,15.3,23.3
20.6,15.9,20.6,26.1,19.4,23.5